SN,Region,District,School_Name,Location,Gender,Residency,Email,Category,Is_STEM,latitude,longitude,youth_literacy_count,mpi_score
117,ASHANTI,KWABRE EAST,SIMMS SENIOR HIGH/COM. SCHOOL,FAWOADE,MIXED,DAY/BOARDING,simmscomshs@ges.gov.gh,C,No,9.4273607,-0.8767444,59281.0,0.0
118,ASHANTI,KWABRE EAST,ANTOA SENIOR HIGH SCHOOL,ANTOA,MIXED,DAY/BOARDING,antoashs@ges.gov.gh,C,No,5.9668857,-0.9929572,59281.0,0.0
119,ASHANTI,MAMPONG MUNICIPAL,OPOKU AGYEMAN SENIOR HIGH/TECH SCHOOL,APAAH,MIXED,DAY,opokuagyemanshst@ges.gov.gh,C,No,5.5009936,-0.7618399,25603.746153846158,0.0884615384615384
120,ASHANTI,MAMPONG MUNICIPAL,KOFIASE ADVENTIST SENIOR HIGH/TECH. SCHOOL,KOFIASE,MIXED,DAY/BOARDING,kofiaseadventistshs.@ges.gov.gh,C,No,6.6809248,-1.1073406,25603.746153846158,0.0884615384615384
121,ASHANTI,MAMPONG MUNICIPAL,AMANIAMPONG SENIOR HIGH SCHOOL,MAMPONG,MIXED,DAY/BOARDING,amaniampongshs@ges.gov.gh,C,No,5.4234565,-0.9611574,25603.746153846158,0.0884615384615384
122,ASHANTI,MAMPONG MUNICIPAL,"ST. JOSEPH SEM/SENIOR HIGH SCHOOL, MAMPONG",MAMPONG,MIXED,DAY/BOARDING,st.josephsemshs@ges.gov.gh,C,No,9.389042,-0.8285041,25603.746153846158,0.0884615384615384
123,ASHANTI,MAMPONG MUNICIPAL,"ST. MONICA'S SENIOR HIGH SCHOOL, MAMPONG",MAMPONG,FEMALE,DAY/BOARDING,st.monicasmampongshs@ges.gov.gh,C,No,7.5614705,-1.7116618,25603.746153846158,0.0884615384615384
124,ASHANTI,NKAWIE,SPIRITAN SENIOR HIGH SCHOOL,ADANKWAME,MIXED,DAY,spiritanshs@ges.gov.gh,C,No,5.5950893,-0.277005,25603.746153846158,0.0884615384615384
125,ASHANTI,OBUASI MUNICIPAL,"CHRIST THE KING CATH., OBUASI",OBUASI,MIXED,DAY/BOARDING,christthekingcathshs@ges.gov.gh,C,No,,,25603.746153846158,0.0884615384615384
126,ASHANTI,OBUASI MUNICIPAL,OBUASI SENIOR HIGH/TECH SCHOOL,OBUASI,MIXED,DAY/BOARDING,obuasishst@ges.gov.gh,C,No,6.6556435,-1.1071968,25603.746153846158,0.0884615384615384
127,ASHANTI,OFFINSO MUNICIPAL,"ST. JEROME SENIOR HIGH SCHOOL, ABOFOUR",ABOFOUR,MIXED,DAY/BOARDING,st.jeromeshs@ges.gov.gh,C,No,6.11494,-0.277781,25603.746153846158,0.0884615384615384
128,ASHANTI,OFFINSO MUNICIPAL,NAMONG SENIOR HIGH/TECH SCHOOL,NAMONG,MIXED,DAY/BOARDING,namongshst@ges.gov.gh,C,No,10.9324723,-0.9735882,25603.746153846158,0.0884615384615384
129,ASHANTI,OFFINSO MUNICIPAL,DWAMENA AKENTEN SENIOR HIGH SCHOOL,OFFINSO,MIXED,DAY/BOARDING,dwamenaakentenshs@ges.gov.gh,C,No,5.0317548,-1.6628839,25603.746153846158,0.0884615384615384
130,ASHANTI,OFFINSO NORTH,WIAFE AKENTEN PRESBY SENIOR HIGH SCHOOL,AFRANCHO,MIXED,DAY,wiafeakentenpresbyshs@ges.gov.gh,C,No,9.3953646,-0.8216087,14051.0,0.1
131,ASHANTI,OFFINSO NORTH,AKUMADAN SENIOR HIGH SCHOOL,AKUMADAN,MIXED,DAY/BOARDING,akumadanshs@ges.gov.gh,C,No,5.8771706,0.3662603,14051.0,0.1
132,ASHANTI,OFFINSO NORTH,NKENKANSU COMMUNITY SENIOR HIGH SCHOOL,NKENKANSU,MIXED,DAY/BOARDING,nkenkansucommshs@ges.gov.gh,C,No,7.993766,-0.326021,14051.0,0.1
133,ASHANTI,OFFINSO NORTH,ASUOSO COMM. SENIOR HIGH SCHOOL,ASUOSO,MIXED,DAY,asuosocommshs@ges.gov.gh,C,No,7.993766,-0.326021,14051.0,0.1
134,ASHANTI,SEKYERE CENTRAL,NSUTAMAN CATH. SENIOR HIGH SCHOOL,NSUTA,MIXED,DAY/BOARDING,nsutamancathshs@ges.gov.gh,C,No,9.4226781,-0.8620235,12271.0,0.2
135,ASHANTI,SEKYERE CENTRAL,GHANA MUSLIM MISSION SENIOR HIGH SCHOOL,BEPOSO,MIXED,DAY/BOARDING,ghanamuslimmissionshs@ges.gov.gh,C,No,7.3366184,-2.304839,12271.0,0.2
136,ASHANTI,SEKYERE CENTRAL,"PRESBY SENIOR HIGH/TECH SCHOOL, KWAMANG",KWAMANG,MIXED,DAY/BOARDING,presbykwamangshst@ges.gov.gh,C,No,6.3325025,-0.4784514,12271.0,0.2
137,ASHANTI,SEKYERE EAST,TIJJANIYA SENIOR HIGH SCHOOL,ASOKORE,MIXED,DAY/BOARDING,tijjaniyashs@ges.gov.gh,C,No,10.6593164,-1.268658,16078.0,0.1
138,ASHANTI,SEKYERE EAST,"T. I. AHMADIYYA GIRL'S SENIOR HIGH SCHOOL, ASOKORE",ASOKORE,FEMALE,DAY/BOARDING,t.i.ahmadiyyagirlsshs@ges.gov.gh,C,No,,,10774.823529411764,0.2058823529411765
139,ASHANTI,SEKYERE EAST,KROBEA ASANTE TECH/VOC SCHOOL,ASOKORE,MIXED,DAY/BOARDING,krobeaasantetechvoc@ges.gov.gh,C,No,,,16078.0,0.1
140,ASHANTI,SEKYERE EAST,EFFIDUASE SENIOR HIGH/COM SCHOOL,EFFIDUASE,MIXED,DAY/BOARDING,effiduaseshst@ges.gov.gh,C,No,6.8901817,-1.2489599,16078.0,0.1
141,ASHANTI,SEKYERE EAST,EFFIDUASE SENIOR HIGH/TECH SCHOOL,AKYAWKROM,MIXED,DAY,effiduaseshst@ges.gov.gh,C,No,5.102919,-1.3921394,16078.0,0.1
142,ASHANTI,SEKYERE KUMAWU,BANKOMAN SENIOR HIGH SCHOOL,BANKO,MIXED,DAY/BOARDING,bankomanshs@ges.gov.gh,C,No,5.5950893,-0.277005,13712.0,0.1
143,ASHANTI,SEKYERE KUMAWU,TWENEBOA KODUA SENIOR HIGH SCHOOL,KUMAWU,MIXED,DAY/BOARDING,tweneboakoduashs@ges.gov.gh,C,No,5.9668857,-0.9929572,13712.0,0.1
144,ASHANTI,SEKYERE KUMAWU,DADEASE AGRIC SENIOR HIGH SCHOOL,DADEASE,MIXED,DAY/BOARDING,dadeaseagricshs@ges.gov.gh,C,No,5.8771706,0.3662603,13712.0,0.1
145,ASHANTI,SEKYERE KUMAWU,BODOMASE SENIOR HIGH/TECH SCHOOL,BODOMASE,MIXED,DAY,bodomaseshst@ges.gov.gh,C,No,6.8901817,-1.2489599,13712.0,0.1
146,ASHANTI,SEKYERE SOUTH,OKOMFO ANOKYE SENIOR HIGH SCHOOL,WIAMOASE,MIXED,DAY/BOARDING,okomfoanokyeshs@ges.gov.gh,C,No,6.8901817,-1.2489599,27274.0,0.1
147,ASHANTI,SEKYERE SOUTH,ADU GYAMFI SENIOR HIGH SCHOOL,JAMASI,MIXED,DAY/BOARDING,adugyamfishs@ges.gov.gh,C,No,5.8771706,0.3662603,27274.0,0.1
148,ASHANTI,SEKYERE SOUTH,"S.D.A. SENIOR HIGH SCHOOL, AGONA",AGONA,MIXED,DAY/BOARDING,sdaagonashs@ges.gov.gh,C,No,7.3449525,-2.3439664,27274.0,0.1
149,ASHANTI,SEKYERE SOUTH,AGONA SENIOR HIGH/TECH SCHOOL,AGONA,MIXED,DAY/BOARDING,agonashst@ges.gov.gh,C,No,10.0272463,-0.9731496,27274.0,0.1
150,ASHANTI,SEKYERE SOUTH,KONADU YIADOM CATHOLIC SENIOR HIGH SCHOOL,ASAMANG,MIXED,DAY/BOARDING,konaduyiadomcatholicshs@ges.gov.gh,C,No,6.399399,-0.138144,27274.0,0.1
151,BONO,BANDA,BANDAMAN SENIOR HIGH SCHOOL,BANDA AHENKRO,MIXED,DAY/BOARDING,bandamanshs@ges.gov.gh,C,No,5.8771706,0.3662603,4233.0,0.2
152,BONO,BEREKUM-MUNICIPAL,BEREKUM PRESBY SENIOR HIGH SCHOOL,BEREKUM,MIXED,DAY/BOARDING,presbyberekumshs@ges.gov.gh,C,No,6.3096027,-0.7248455,19578.702702702703,0.1027027027027027
153,BONO,BEREKUM-MUNICIPAL,BEREKUM SENIOR HIGH SCHOOL,BEREKUM,MIXED,DAY/BOARDING,berekumshs@ges.gov.gh,C,No,6.6903393,-1.5480316,19578.702702702703,0.1027027027027027
154,BONO,BEREKUM-MUNICIPAL,JINIJINI SENIOR HIGH SCHOOL,JINIJINI,MIXED,DAY/BOARDING,jinijinishs@ges.gov.gh,C,No,5.5950893,-0.277005,19578.702702702703,0.1027027027027027
155,BONO,BEREKUM-MUNICIPAL,"ST. AUGUSTINE SENIOR HIGH SCHOOL, NSAPOR- BEREKUM",NSAPOR- BEREKUM,MIXED,DAY,st.augustineberekumshs@ges.gov.gh,C,No,,,9269.0,0.1
156,BONO,BEREKUM-MUNICIPAL,"METHODIST SENIOR HIGH/TECH SCHOOL,BIADAN",BIADAN,MIXED,DAY/BOARDING,methodistbiadanshst@ges.gov.gh,C,No,4.9046484,-1.7908342,19578.702702702703,0.1027027027027027
157,BONO,DORMAA CENTRAL MUNICIPAL,DORMAA SENIOR HIGH SCHOOL,DORMAA AHENKRO,MIXED,DAY/BOARDING,dormaashs@ges.gov.gh,C,No,5.9668857,-0.9929572,19578.702702702703,0.1027027027027027
158,BONO,DORMAA CENTRAL MUNICIPAL,"SALVATION ARMY SENIOR HIGH SCHOOL, ABOABO DORMAA",ABOABO- DORMAA,MIXED,DAY/BOARDING,salvationarmydormaashs@ges.gov.gh,C,No,7.2145105,-2.8055983,21333.0,0.1
159,BONO,DORMAA EAST,MANSEN SENIOR HIGH SCHOOL,WAMFIE,MIXED,DAY/BOARDING,mansenshs@ges.gov.gh,C,No,6.8901817,-1.2489599,19578.702702702703,0.1027027027027027
160,BONO,DORMAA EAST,WAMANAFO SENIOR HIGH/TECH SCHOOL,WAMANAFO,MIXED,DAY/BOARDING,wamanafoshst@ges.gov.gh,C,No,10.0272463,-0.9731496,12349.0,0.1
161,BONO,DORMAA WEST,NKRANKWANTA COMM SENIOR HIGH SCHOOL,NKRANKWANTA,MIXED,DAY/BOARDING,nkrankwantacommshs@ges.gov.gh,C,No,10.8086801,-0.8656292,11893.777777777776,0.1111111111111111
162,BONO,JAMAN NORTH,"ST. ANN'S GIRLS SENIOR HIGH SCHOOL, SAMPA",SAMPA,FEMALE,DAY,st.annsgirlsshs@ges.gov.gh,C,No,6.319177,-2.250302,22713.0,0.1
163,BONO,JAMAN NORTH,NAFANA SENIOR HIGH SCHOOL,SAMPA,MIXED,DAY/BOARDING,nafanashs@ges.gov.gh,C,No,5.8771706,0.3662603,22713.0,0.1
164,BONO,JAMAN NORTH,SUMAMAN SENIOR HIGH SCHOOL,SUMA-AHENKRO,MIXED,DAY/BOARDING,sumamanshs@ges.gov.gh,C,No,5.8771706,0.3662603,22713.0,0.1
165,BONO,JAMAN NORTH,DIAMONO SENIOR HIGH SCHOOL,DUADASO NO.2,MIXED,DAY,diamonoshs@ges.gov.gh,C,No,9.4273607,-0.8767444,11666.0,0.2
166,BONO,JAMAN NORTH,GOKA SENIOR HIGH/TECH SCHOOL,GOKA,MIXED,DAY/BOARDING,gokashst@ges.gov.gh,C,No,5.9668857,-0.9929572,22713.0,0.1
167,BONO,JAMAN NORTH,DUADASO NO. 1 SENIOR HIGH/TECH SCHOOL,DUADASO,MIXED,DAY,duadasono.1shs@ges.gov.gh,C,No,5.8771706,0.3662603,22713.0,0.1
168,BONO,JAMAN SOUTH,DROBO SENIOR HIGH SCHOOL,DROBO,MIXED,DAY/BOARDING,droboshs@ges.gov.gh,C,No,5.9668857,-0.9929572,20320.0,0.1
169,BONO,JAMAN SOUTH,OUR LADY OF PROVIDENCE SENIOR HIGH SCHOOL,KWASI BUOKROM,FEMALE,DAY/BOARDING,ourladyofprovidenceshs@ges.gov.gh,C,No,5.5110369,-0.4568177,20320.0,0.1
170,BONO,SUNYANI MUNICIPAL,"S.D.A SENIOR HIGH SCHOOL, SUNYANI",SUNYANI,MIXED,DAY,sdasunyanishs@ges.gov.gh,C,No,7.3449525,-2.3439664,19578.702702702703,0.1027027027027027
171,BONO,SUNYANI MUNICIPAL,TWENE AMANFO SENIOR HIGH/TECH SCHOOL,SUNYANI,MIXED,DAY,tweneamanfoshst@ges.gov.gh,C,No,10.9324723,-0.9735882,19578.702702702703,0.1027027027027027
172,BONO,SUNYANI MUNICIPAL,SUNYANI METHODIST TECHNICAL INST.,SUNYANI,MIXED,DAY/BOARDING,sunyanimethodisttechinst@ges.gov.gh,C,No,,,19578.702702702703,0.1027027027027027
173,BONO,SUNYANI MUNICIPAL,"ST. JAMES SEM & SENIOR HIGH SCHOOL, ABESIM",ABESIM,MALE,DAY/BOARDING,st.jamessemshs@ges.gov.gh,C,No,5.15213,-1.2052919,19578.702702702703,0.1027027027027027
174,BONO,SUNYANI MUNICIPAL,SUNYANI SENIOR HIGH SCHOOL,SUNYANI,MIXED,DAY/BOARDING,sunyanishs@ges.gov.gh,C,No,5.5950893,-0.277005,19578.702702702703,0.1027027027027027
175,BONO,SUNYANI WEST,"SACRED HEART SENIOR HIGH SCHOOL, NSOATRE",NSOATRE,MIXED,DAY/BOARDING,sacredheartshs@ges.gov.gh,C,No,7.3423772,-2.3100736,19578.702702702703,0.1027027027027027
176,BONO,SUNYANI WEST,CHIRAA SENIOR HIGH SCHOOL,CHIRAA,MIXED,DAY/BOARDING,chiraashs@ges.gov.gh,C,No,10.6593164,-1.268658,19578.702702702703,0.1027027027027027
177,BONO,SUNYANI WEST,ODOMASEMAN SENIOR HIGH SCHOOL,ODOMASE,MIXED,DAY/BOARDING,odomasemanshs@ges.gov.gh,C,No,6.8901817,-1.2489599,19578.702702702703,0.1027027027027027
178,BONO,SUNYANI WEST,DON BOSCO VOC./TECH. INST.,ODUMASI,MIXED,DAY,donboscotechvocinst@ges.gov.gh,C,No,,,19578.702702702703,0.1027027027027027
179,BONO,SUNYANI WEST,"NOTRE DAME GIRLS SENIOR HIGH SCHOOL, SUNYANI",SUNYANI,FEMALE,DAY/BOARDING,notredamegirlsshs@ges.gov.gh,C,No,7.3449525,-2.3439664,19578.702702702703,0.1027027027027027
180,BONO,TAIN,MENJI SENIOR HIGH SCHOOL,MENJI,MIXED,DAY,menjishs@ges.gov.gh,C,No,9.4226781,-0.8620235,20007.0,0.1
181,BONO,TAIN,NSAWKAW STATE SENIOR HIGH SCHOOL,NSAWKAW,MIXED,DAY/BOARDING,nsawkawstateshs@ges.gov.gh,C,No,10.6593164,-1.268658,20007.0,0.1
182,BONO,TAIN,NKORANMAN SENIOR HIGH SCHOOL,SEIKWA,MIXED,DAY/BOARDING,nkoranmanshs@ges.gov.gh,C,No,5.9668857,-0.9929572,20007.0,0.1
183,BONO,TAIN,BADU SENIOR HIGH/TECH SCHOOL,BADU/WENCHI,MIXED,DAY/BOARDING,badushst@ges.gov.gh,C,No,5.8771706,0.3662603,20007.0,0.1
184,BONO,WENCHI MUNICIPAL,NKYERAA SENIOR HIGH SCHOOL,NCHIRAA,MIXED,DAY,nkyeraashs@ges.gov.gh,C,No,5.8771706,0.3662603,19578.702702702703,0.1027027027027027
185,BONO,WENCHI MUNICIPAL,WENCHI METH. SENIOR HIGH SCHOOL,WENCHI,MIXED,DAY/BOARDING,wenchimethshs@ges.gov.gh,C,No,7.2316721,-2.1751937,21314.0,0.1
186,BONO,WENCHI MUNICIPAL,KOASE SENIOR HIGH/TECH SCHOOL,KOASE/WENCHI,MIXED,DAY/BOARDING,koaseshst@ges.gov.gh,C,No,6.6556435,-1.1071968,19578.702702702703,0.1027027027027027
187,BONO,WENCHI MUNICIPAL,ISTIQUAAMA SENIOR HIGH SCHOOL,WENCHI,MIXED,DAY/BOARDING,istiquaamashs@ges.gov.gh,C,No,9.4226781,-0.8620235,19578.702702702703,0.1027027027027027
188,BONO EAST,ATEBUBU-AMANTIN,ATEBUBU SENIOR HIGH SCHOOL,ATEBUBU,MIXED,DAY/BOARDING,atebubushs@ges.gov.gh,C,No,5.9668857,-0.9929572,15885.032258064515,0.1161290322580645
189,BONO EAST,ATEBUBU-AMANTIN,NEW KROKOMPE COMM. SENIOR HIGH SCHOOL,NEW KONKROMPE,MIXED,DAY/BOARDING,newkrokompecommshs@ges.gov.gh,C,No,6.8901817,-1.2489599,15885.032258064515,0.1161290322580645
190,BONO EAST,ATEBUBU-AMANTIN,AMANTEN SENIOR HIGH SCHOOL,AMANTEN,MIXED,DAY/BOARDING,amantenshs@ges.gov.gh,C,No,9.4226781,-0.8620235,15885.032258064515,0.1161290322580645
191,BONO EAST,KINTAMPO NORTH,NEW LONGORO COMM SENIOR HIGH SCHOOL (DEGA),NEW LONGORO,MIXED,DAY,newlongorocommshs@ges.gov.gh,C,No,,,15885.032258064515,0.1161290322580645
192,BONO EAST,KINTAMPO NORTH MUNICIPAL,KINTAMPO SENIOR HIGH SCHOOL,KINTAMPO,MIXED,DAY/BOARDING,kintamposhs@ges.gov.gh,C,No,6.6903393,-1.5480316,15885.032258064515,0.1161290322580645
193,BONO EAST,KINTAMPO SOUTH,JEMA SENIOR HIGH SCHOOL,JEMA,MIXED,DAY/BOARDING,jemashs@ges.gov.gh,C,No,5.4234565,-0.9611574,13233.0,0.1
194,BONO EAST,NKORANZA,NKORANZA TECH INST.,NKORANZA,MIXED,DAY/BOARDING,nkoranzatechinst@ges.gov.gh,C,No,,,21034.0,0.1
195,BONO EAST,NKORANZA NORTH,OSEI BONSU SENIOR HIGH SCHOOL,YEFRI,MIXED,DAY/BOARDING,oseibonsushs@ges.gov.gh,C,No,10.29697,-0.0907052,9380.0,0.1
196,BONO EAST,NKORANZA NORTH,BUSUNYA SENIOR HIGH SCHOOL,BUSUNYA,MIXED,DAY/BOARDING,busunyashs@ges.gov.gh,C,No,7.3366184,-2.304839,9380.0,0.1
197,BONO EAST,NKORANZA SOUTH,KWABRE SENIOR HIGH SCHOOL,AKUMA,MIXED,DAY/BOARDING,kwabreshs@ges.gov.gh,C,No,10.6593164,-1.268658,15885.032258064515,0.1161290322580645
198,BONO EAST,NKORANZA SOUTH,NKORANZA SENIOR HIGH/TECH SCHOOL,NKORANZA,MIXED,DAY/BOARDING,nkoranzashst@ges.gov.gh,C,No,10.0272463,-0.9731496,21034.0,0.1
199,BONO EAST,PRU,YEJI SENIOR HIGH/TECH SCHOOL,YEJI,MIXED,DAY/BOARDING,yejishst@ges.gov.gh,C,No,10.0272463,-0.9731496,11818.0,0.1
200,BONO EAST,PRU,PRANG SENIOR HIGH,PRANG,MIXED,DAY/BOARDING,prangshs@ges.gov.gh,C,No,5.5950893,-0.277005,23236.7,0.12
201,BONO EAST,PRU,ABEASEMAN COMM. DAY SENIOR HIGH SCHOOL,ABEASE,MIXED,DAY,abeasemancommshs@ges.gov.gh,C,No,7.993766,-0.326021,11893.777777777776,0.1111111111111111
202,BONO EAST,SENE EAST,BASSA COMMUNITY SENIOR HIGH SCHOOL,BODINKA,MIXED,DAY,bassacommunityshs@ges.gov.gh,C,No,7.993766,-0.326021,9113.0,0.2
203,BONO EAST,SENE EAST,KAJAJI SENIOR HIGH SCHOOL,KAJAJI,MIXED,DAY/BOARDING,kajajishs@ges.gov.gh,C,No,5.8771706,0.3662603,9113.0,0.2
204,BONO EAST,SENE WEST,KWAME DANSO SENIOR HIGH/TECH SCHOOL,KWAME DANSO,MIXED,DAY/BOARDING,kwamedansoshst@ges.gov.gh,C,No,10.9324723,-0.9735882,9328.0,0.1
205,BONO EAST,TECHIMAN MUNICIPAL,GYARKO COMM. DAY SENIOR HIGH SCHOOL,TECHIMAN,MIXED,DAY,gyarkocommshs@ges.gov.gh,C,No,5.9668857,-0.9929572,15885.032258064515,0.1161290322580645
206,BONO EAST,TECHIMAN MUNICIPAL,KESSE BASAHYIA SENIOR HIGH SCHOOL,TECHIMAN OFORIKROM,MIXED,DAY,kessebasahyiashs@ges.gov.gh,C,No,5.8771706,0.3662603,15885.032258064515,0.1161290322580645
207,BONO EAST,TECHIMAN MUNICIPAL,TECHIMAN SENIOR HIGH SCHOOL,TECHIMAN,MIXED,DAY/BOARDING,techimanshs@ges.gov.gh,C,No,7.2316721,-2.1751937,15885.032258064515,0.1161290322580645
208,BONO EAST,TECHIMAN MUNICIPAL,"OUR LADY OF MOUNT CARMEL GIRLS SENIOR HIGH SCHOOL, TECHIMAN",TECHIMAN,FEMALE,DAY/BOARDING,ourladyofmountcarmelgirlsshs@ges.gov.gh,C,No,7.5580494,-1.937679,15885.032258064515,0.1161290322580645
209,BONO EAST,TECHIMAN MUNICIPAL,YEBOAH ASUAMAH SENIOR HIGH SCHOOL,NSUTA,MIXED,DAY,yeboahasuamahshs@ges.gov.gh,C,No,5.5009936,-0.7618399,15885.032258064515,0.1161290322580645
210,BONO EAST,TECHIMAN MUNICIPAL,KWARTENG ANKOMAH SENIOR HIGH SCHOOL,TANOSO- TECHMIAN,MIXED,DAY/BOARDING,kwartengankomahshs@ges.gov.gh,C,No,7.4635891,-1.9709609,15885.032258064515,0.1161290322580645
211,BONO EAST,TECHIMAN NORTH,GUAKRO EFFAH SENIOR HIGH SCHOOL,OFFUMAN,MIXED,DAY,guakroeffahshs@ges.gov.gh,C,No,5.4234565,-0.9611574,19241.0,0.1
212,BONO EAST,TECHIMAN NORTH,"ST. FRANCIS SEMINARY/SENIOR HIGH SCHOOL, BUOYEM",BUOYEM,MALE,DAY/BOARDING,st.francisseminaryshs@ges.gov.gh,C,No,,,19241.0,0.1
213,BONO EAST,TECHIMAN NORTH,TUOBODOM SENIOR HIGH/TECH SCHOOL,TUOBODOM,MIXED,DAY/BOARDING,tuobodomshst@ges.gov.gh,C,No,6.8901817,-1.2489599,19241.0,0.1
214,BONO EAST,TECHIMAN NORTH,AMEYAW AKUMFI SENIOR HIGH/TECH SCHOOL,AWOROWA,MIXED,DAY/BOARDING,ameyawakumfishst@ges.gov.gh,C,No,10.0272463,-0.9731496,10774.823529411764,0.2058823529411765
215,BONO EAST,TECHIMAN NORTH,KROBO COMM.SENIOR HIGH SCHOOL,KROBO,MIXED,DAY,krobocommshs@ges.gov.gh,C,No,6.8901817,-1.2489599,19241.0,0.1
216,BONO EAST,TANO NORTH,ABRAFI SENIOR HIGH SCHOOL,TECHIMAN,MIXED,DAY,abrafishs@ges.gov.gh,C,No,5.8771706,0.3662603,19241.0,0.1
217,CENTRAL,ABURA/ASEBU/ KWAMAN,ASUANSI TECH. INST.,ASUANSI,MIXED,DAY/BOARDING,asuansitechinst@ges.gov.gh,C,No,5.2978835,-1.262884,25603.746153846158,0.0884615384615384
218,CENTRAL,ABURA/ASEBU/ KWAMANKESE,ABURAMAN SENIOR HIGH SCHOOL,ABURA DUNKWA,MIXED,DAY/BOARDING,aburamanshs@ges.gov.gh,C,No,7.142572,-1.6406402,23943.0,0.1
219,CENTRAL,ABURA/ASEBU/ KWAMANKESE,ABAKRAMPA SENIOR HIGH/TECH SCHOOL,ABAKRAMPA,MIXED,DAY/BOARDING,abakrampashst@ges.gov.gh,C,No,10.9324723,-0.9735882,23943.0,0.1
220,CENTRAL,ABURA/ASEBU/ KWAMANKESE,MOREE COMM. SENIOR HIGH SCHOOL,MOREE,MIXED,DAY,moreecommshs@ges.gov.gh,C,No,10.9014082,-0.9013563,23943.0,0.1
221,CENTRAL,ABURA/ASEBU/ KWAMANKESE,AGGREY MEM. A.M.E.ZION SENIOR HIGH SCHOOL,CAPE COAST,MIXED,DAY/BOARDING,aggreymemamezionshs@ges.gov.gh,C,No,5.1363122,-1.2216372,16411.0,0.1
222,CENTRAL,AGONA EAST,NSABA PRESBY SENIOR HIGH SCHOOL,NSABA,MIXED,DAY/BOARDING,presbynsabashs@ges.gov.gh,C,No,9.3953646,-0.8216087,20267.0,0.1
223,CENTRAL,AGONA EAST,AGONA NAMONWORA COMM.SENIOR HIGH SCHOOL,AGONA NAMONWORA,MIXED,DAY,agonanamonworacommshs@ges.gov.gh,C,No,5.544203,-0.836264,20267.0,0.1
224,CENTRAL,AGONA EAST,KWANYAKO SENIOR HIGH SCHOOL,KWANYAKO,MIXED,DAY/BOARDING,kwanyakoshs@ges.gov.gh,C,No,5.5950893,-0.277005,20267.0,0.1
225,CENTRAL,AGONA EAST,SWEDRU SENIOR HIGH SCHOOL,SWEDRU,MIXED,DAY/BOARDING,swedrushs@ges.gov.gh,C,No,5.9668857,-0.9929572,20267.0,0.1
226,CENTRAL,AGONA WEST MUNICIPAL,SIDDIQ SENIOR HIGH SCHOOL,AGONA NYAKROM,MIXED,DAY,siddiqshs@ges.gov.gh,C,No,5.9668857,-0.9929572,25774.0,0.1
227,CENTRAL,AGONA WEST MUNICIPAL,NYAKROM SENIOR HIGH TECH SCHOOL,NYAKROM,MIXED,DAY/BOARDING,nyakromshst@ges.gov.gh,C,No,5.5950893,-0.277005,25774.0,0.1
228,CENTRAL,AGONA WEST MUNICIPAL,AGONA FANKOBAA SENIOR HIGH SCHOOL,AGONA FANKOBAA,MIXED,DAY,agonafankobaashs@ges.gov.gh,C,No,5.544203,-0.836264,25774.0,0.1
229,CENTRAL,AGONA WEST MUNICIPAL,SWEDRU SCH. OF BUSINESS,SWEDRU,MIXED,DAY/BOARDING,swedruschofbusiness@ges.gov.gh,C,No,5.1208275,-1.2948876,25774.0,0.1
230,CENTRAL,AJUMAKO/ ENYAN/ESIAM,BISEASE SENIOR HIGH/COMM. SCHOOL,BISEASE,MIXED,DAY/BOARDING,biseaseshscomshs@ges.gov.gh,C,No,7.3366184,-2.304839,13149.0,0.1
231,CENTRAL,AJUMAKO/ ENYAN/ESIAM,ENYAN DENKYIRA SENIOR HIGH SCHOOL,DENKYIRA,MIXED,DAY/BOARDING,enyandenkyirashs@ges.gov.gh,C,No,5.8771706,0.3662603,24018.014925373136,0.09701492537313428
232,CENTRAL,AJUMAKO/ ENYAN/ESIAM,MANDO SENIOR HIGH/TECH SCHOOL,MANDO,MIXED,DAY/BOARDING,mandoshst@ges.gov.gh,C,No,10.9324723,-0.9735882,19578.702702702703,0.1027027027027027
233,CENTRAL,AJUMAKO/ ENYAN/ESIAM,ENYAN MAIM COMM. DAY SENIOR HIGH SCHOOL,ENYAN MAIM,MIXED,DAY,enyanmaimcommshs@ges.gov.gh,C,No,5.314022,-1.00919,11893.777777777776,0.1111111111111111
234,CENTRAL,AJUMAKO/ENYAN /ESSIAM,ENYAN-ABAASA TECHNICAL INSTITUTE,ENYAN-ABAASA,MIXED,DAY/BOARDING,enyanabaasatechinst@ges.gov.gh,C,No,9.4299903,-0.8669195,5210.0,0.2
235,CENTRAL,ASIKUMA/ODOBEN/ BRAKWA,BRAKWA SENIOR HIGH/TECH SCHOOL,BRAKWA,MIXED,DAY/BOARDING,brakwashst@ges.gov.gh,C,No,10.0272463,-0.9731496,10774.823529411764,0.2058823529411765
236,CENTRAL,ASIKUMA/ODOBEN/ BRAKWA,ODOBEN SENIOR HIGH SCHOOL,ODOBEN,MIXED,DAY/BOARDING,odobenshs@ges.gov.gh,C,No,5.9668857,-0.9929572,25603.746153846158,0.0884615384615384
237,CENTRAL,ASIKUMA/ODOBEN/ BRAKWA,BREMAN ASIKUMA SENIOR HIGH SCHOOL,BREMAN ASIKUMA,MIXED,DAY/BOARDING,bremanasikumashs@ges.gov.gh,C,No,5.5950893,-0.277005,11893.777777777776,0.1111111111111111
